*LANG			
	&English	简体中文(&Simplified Chinese)	繁體中文(&Traditional Chinese)
	Wake of Fire Sentry	火焰复苏	火焰復甦
	Blade Fury	刃之怒	刃之怒
	Lightning Sentry	雷光守卫	雷光守衛
	Inferno Sentry	复苏狱火	復甦獄火
	Death Sentry	亡者守卫	亡者守衛
	Blade Shield	刀刃之盾	刀刃之盾
	Claw Mastery	支配利爪	支配利爪
	Psychic Hammer	心灵战锤	心靈戰鎚
	Quickness	加速	加速
	Weapon Block	武器格挡	武器格擋
	Cloak of Shadows	魔影斗篷	魔影斗篷
	Fade	能量消解	能量消解
	Shadow Warrior	影子战士	影子戰士
	Mind Blast	心灵爆震	心靈爆震
	Venom	毒牙	毒牙
	Shadow Master	影子大师	影子大師
	Tiger Strike	虎击	虎擊
	Dragon Talon	龙爪	龍爪
	Fists of Fire	焰拳	焰拳
	Dragon Claw	双龙爪	雙龍爪
	Cobra Strike	眼镜蛇攻击	眼鏡蛇攻擊
	Claws of Thunder	雷电爪	雷電爪
	Dragon Tail	神龙摆尾	神龍擺尾
	Blades of Ice	寒冰刃	寒冰刃
	Dragon Flight	飞龙在天	飛龍在天
	Royal Strike	凤凰攻击	鳳凰攻擊
*=======================角色技能树名字（不是技能名）			
	Bow and Crossbow Skills	弓和十字弓技能	弓和十字弓技能
	Passive and Magic Skills	被动和魔法技能	被動和魔法技能
	Javelin and Spear Skills	标枪和长矛技能	標槍和長矛技能
	Fire Spells	火焰法术	火焰法術
	Lightning Spells	闪电法术	閃電法術
	Cold Spells	冰冻法术	冰凍法術
	Curses	诅咒	詛咒
	Poison and Bone Spells	毒素和白骨法术	毒素和白骨法術
	Summoning Spells	召唤法术	召喚法術
	Combat Skills	作战技能	作戰技能
	Offensive Auras	攻击灵气	攻擊靈氣
	Defensive Auras	防御性灵气	防禦性靈氣
	Combat Skills	战斗技能	戰鬥技能
	Combat Masteries	战斗专家	戰鬥專家
	Warcries	呐喊	呐喊
	Summoning	召唤	召喚
	Lycanthropy	外型变形	外型變形
	Elemental	元素	元素
	Traps	陷阱	陷阱
	Shadow Disciplines	影子训练	影子訓練
	Martial Arts	武学艺术	武學藝術
*=======================时刻名字			
	During Daytime	在白天	在白天
	Near Dusk	在黄昏	在黃昏
	During Nighttime	在夜间	在夜間
	Near Dawn	在黎明	在黎明
*=======================角色名字			
	Amazon	亚马逊	亞馬遜
	Sorceress	法师	法師
	Necromancer	死灵法师	死靈法師
	Paladin	圣骑士	聖騎士
	Barbarian	野蛮人	野蠻人
	Druid	德鲁依	德魯依
	Assassin	刺客	刺客
*=======================以下是物品名称			
	Elixir		靈藥
	Healing Potion		一股邪惡力量
	Mana Potion		一股邪惡力量
	Full Healing Potion		一股邪惡力量
	Full Mana Potion		一股邪惡力量
	Stamina Potion		體力藥劑
	Antidote Potion		解毒藥劑
	Rejuvenation Potion		回復活力藥劑
	Full Rejuvenation Potion		全面回復活力藥劑
	Thawing Potion		溶解藥劑
	Town Portal Book		城鎮傳送之書
	Identify Book		辨識之書
	Amulet		護身符
	Top of The Horadric Staff		赫拉迪克之杖頂端
	Ring		戒指
	Gold		黃金
	Scroll of Jnifuss		艾尼弗斯卷軸
	Key To The Cairn Stones		石塚之鑰
	Arrows		箭矢
	Torch		火焰
	Bolts		十字弓彈
	Town Portal Scroll		城鎮傳送卷軸
	Identify Scroll		辨識卷軸
	Heart		心臟
	Brain		腦
	Jawbone		顎骨
	Eye		眼球
	Horn		角
	Diablo's Horn	暗黑破坏神之角	暗黑破壞神之角
	Tail		尾巴
	Flag		旗幟
	Standard of Heroes	英雄旗帜	英雄旗幟
	Fang		尖牙
	Quill		硬毛
	Soul		靈魂
	Scalp		頭皮
	Spleen		脾臟
	Key		鑰匙
	The Black Tower Key		黑塔之鑰
	Key of Terror	恐惧之钥	恐懼之鑰
	Key of Hate	憎恨之钥	憎恨之鑰
	Key of Destruction	毁灭之钥	毀滅之鑰
	Potion of Life		生命藥劑
	Jade Figurine		玉製小人
	Gold Bird		黃金鳥
	Lam esen's tome		藍.伊森之書
	Horadric Cube		赫拉迪克方塊
	Horadric Scroll		赫拉迪克卷軸
	Mephisto SoulStone		墨菲斯托的靈魂之石
	Book of Skill		技能之書
	Khalim Eye		克林姆的眼球
	Baal's Eye	巴尔之眼	巴爾之眼
	Khalim Heart		克林姆的心臟
	Khalim Brain		克林姆的大腦
	Mephisto's Brain	墨菲斯托之脑	墨菲斯托之腦
	Ear		耳朵
	Chipped Amethyst		碎裂的紫寶石
	Flawed Amethyst		裂開的紫寶石
	Amethyst		紫寶石
	Flawless Amethyst		無瑕疵的紫寶石
	Perfect Amethyst		完美的紫寶石
	Chipped Topaz		碎裂的黄寶石
	Flawed Topaz		裂開的黄寶石
	Topaz		黄寶石
	Flawless Topaz		無瑕疵的黄寶石
	Perfect Topaz		完美的黄寶石
	Chipped Saphire		碎裂的藍寶石
	Flawed Saphire		裂開的藍寶石
	Saphire		藍寶石
	Flawless Saphire		無瑕疵的藍寶石
	Perfect Saphire		完美的藍寶石
	Chipped Emerald		碎裂的綠寶石
	Flawed Emerald		裂開的綠寶石
	Emerald		綠寶石
	Flawless Emerald		無瑕疵的綠寶石
	Perfect Emerald		完美的綠寶石
	Chipped Ruby		碎裂的紅寶石
	Flawed Ruby		裂開的紅寶石
	Ruby		紅寶石
	Flawless Ruby		無瑕疵的紅寶石
	Perfect Ruby		完美的紅寶石
	Chipped Diamond		碎裂的鑽石
	Flawed Diamond		裂開的鑽石
	Diamond		鑽石
	Flawless Diamond		無瑕疵的鑽石
	Perfect Diamond		完美的鑽石
	Minor Healing Potion		輕微治療藥劑
	Light Healing Potion		輕型治療藥劑
	Healing Potion		治療藥劑
	Greater Healing Potion		強力藥劑
	Super Healing Potion		超級治療藥劑
	Minor Mana Potion		輕微法力藥劑
	Light Mana Potion		輕型法力藥劑
	Mana Potion		法力藥劑
	Greater Mana Potion		強力法力藥劑
	Super Mana Potion		超級法力藥劑
	Chipped Skull		碎裂的骷髏
	Flawed Skull		裂開的骷髏
	Skull		骷髏
	Flawless Skull		無瑕疵的骷髏
	Perfect Skull		完美的骷髏
	Herb		藥草
	Small Charm		小護身符
	Large Charm		大型護身符
	Grand Charm		超大型護身符
	Small Red Potion		一股邪惡力量
	Large Red Potion		一股邪惡力量
	Small Blue Potion		一股邪惡力量
	Large Blue Potion		一股邪惡力量
	El Rune (1)	符文：El (1)	符文：El (1)
	Eld Rune (2)	符文：Eld (2)	符文：Eld (2)
	Tir Rune (3)	符文：Tir (3)	符文：Tir (3)
	Nef Rune (4)	符文：Nef (4)	符文：Nef (4)
	Eth Rune (5)	符文：Eth (5)	符文：Eth (5)
	Ith Rune (6)	符文：Ith (6)	符文：Ith (6)
	Tal Rune (7)	符文：Tal (7)	符文：Tal (7)
	Ral Rune (8)	符文：Ral (8)	符文：Ral (8)
	Ort Rune (9)	符文：Ort (9)	符文：Ort (9)
	Thul Rune (10)	符文：Thul (10)	符文：Thul (10)
	Amn Rune (11)	符文：Amn (11)	符文：Amn (11)
	Sol Rune (12)	符文：Sol (12)	符文：Sol (12)
	Shael Rune (13)	符文：Shael (13)	符文：Shael (13)
	Dol Rune (14)	符文：Dol (14)	符文：Dol (14)
	Hel Rune (15)	符文：Hel (15)	符文：Hel (15)
	Io Rune (16)	符文：Io (16)	符文：Io (16)
	Lum Rune (17)	符文：Lum (17)	符文：Lum (17)
	Ko Rune (18)	符文：Ko (18)	符文：Ko (18)
	Fal Rune (19)	符文：Fal (19)	符文：Fal (19)
	Lem Rune (20)	符文：Lem (20)	符文：Lem (20)
	Pul Rune (21)	符文：Pul (21)	符文：Pul (21)
	Um Rune (22)	符文：Um (22)	符文：Um (22)
	Mal Rune (23)	符文：Mal (23)	符文：Mal (23)
	Ist Rune (24)	符文：Ist (24)	符文：Ist (24)
	Gul Rune (25)	符文：Gul (25)	符文：Gul (25)
	Vex Rune (26)	符文：Vex (26)	符文：Vex (26)
	Ohm Rune (27)	符文：Ohm (27)	符文：Ohm (27)
	Lo Rune (28)	符文：Lo (28)	符文：Lo (28)
	Sur Rune (29)	符文：Sur (29)	符文：Sur (29)
	Ber Rune (30)	符文：Ber (30)	符文：Ber (30)
	Jah Rune (31)	符文：Jah (31)	符文：Jah (31)
	Cham Rune (32)	符文：Cham (32)	符文：Cham (32)
	Zod Rune (33)	符文：Zod (33)	符文：Zod (33)
	Jewel		寶石
	Malah's Potion		馬拉之藥
	Scroll of Knowledge		知識卷軸
	Scroll of Resistances		抵抗卷軸
	Token of Absolution	赦免徽章	赦免徽章
	Twisted Essence of Destruction	溃烂的毁灭精华	潰爛的毀滅精華
	Twisted Essence of Terror	燃烧的恐惧精华	燃燒的恐懼精華
	Twisted Essence of Hatred	充盈的憎恨精华	充盈的憎恨精華
	Twisted Essence of Suffering	扭曲的苦痛精华	扭曲的苦痛精華
	Cap		
	Skull Cap		
	Helm		
	Full Helm		
	Great Helm		
	Crown		
	Mask		
	Bone Helm		
	War Hat		
	Sallet		
	Casque		
	Basinet		
	Winged Helm		
	Grand Crown		
	Death Mask		
	Grim Helm		
	Shako		
	Hydraskull		
	Armet		
	Giant Conch		
	Spired Helm		
	Corona		
	Demonhead		
	Bone Visage		
	Circlet		
	Coronet		
	Tiara		
	Diadem		
	Jawbone Cap		
	Fanged Helm		
	Horned Helm		
	Assault Helmet		
	Avenger Guard		
	Jawbone Visor		
	Lion Helm		
	Range Mask		
	Savage Helmet		
	Slayer Guard		
	Carnage Helm		
	Fury Visor		
	Destroyer Helm		
	Conqueror Crown		
	Guardian Crown		
	Wolf Head		
	Hawk Helm		
	Antlers		
	Falcon Mask		
	Spirit Mask		
	Alpha Helm		
	Griffon Headdress		
	Hunter's Guise		
	Sacred Feathers		
	Totemic Mask		
	Blood Spirit		
	Sun Spirit		
	Earth Spirit		
	Sky Spirit		
	Dream Spirit		
	Leather Gloves		
	Heavy Gloves		
	Chain Gloves		
	Light Gauntlets		
	Gauntlets		
	Demonhide Gloves		
	Sharkskin Gloves		
	Heavy Bracers		
	Battle Gauntlets		
	War Gauntlets		
	Bramble Mitts		
	Vampirebone Gloves		
	Vambraces		
	Crusader Gauntlets		
	Ogre Gauntlets		
	Boots		
	Heavy Boots		
	Chain Boots		
	Light Plated Boots		
	Greaves		
	Demonhide Boots		
	Sharkskin Boots		
	Mesh Boots		
	Battle Boots		
	War Boots		
	Wyrmhide Boots		
	Scarabshell Boots		
	BoneWeave Boots		
	Mirrored Boots		
	Myrmidon Greaves		
	Sash		
	Light Belt		
	Belt		
	Heavy Belt		
	Plated Belt		
	Demonhide Sash		
	Sharkskin Belt		
	Mesh Belt		
	Battle Belt		
	War Belt		
	Spiderweb Sash		
	Vampirefang Belt		
	Mithril Coil		
	Troll Belt		
	Colossus Girdle		
	Quilted Armor		
	Leather Armor		
	Hard Leather Armor		
	Studded Leather		
	Ring Mail		
	Scale Mail		
	Chain Mail		
	Breast Plate		
	Splint Mail		
	Plate Mail		
	Field Mail		
	Gothic Plate		
	Full Plate Mail		
	Ancient Armor		
	Light Plate		
	Ghost Armor		
	Serpentskin Armor		
	Demonhide Armor		
	Trellised Armor		
	Linked Mail		
	Tigulated Mail		
	Mesh Armor		
	Cuirass		
	Russet Armor		
	Templar Coat		
	Sharktooth Armor		
	Embossed Plate		
	Chaos Armor		
	Ornate Plate		
	Mage Plate		
	Dusk Shroud		
	Wyrmhide		
	Scarab Husk		
	Wire Fleece		
	Diamond Mail		
	Loricated Mail		
	Boneweave		
	Great Hauberk		
	Balrog Skin		
	Hellforge Plate		
	Kraken Shell		
	Lacquered Plate		
	Shadow Plate		
	Sacred Armor		
	Archon Plate		
	Buckler		
	Small Shield		
	Large Shield		
	Kite Shield		
	Tower Shield		
	Gothic Shield		
	Bone Shield		
	Spiked Shield		
	Defender		
	Round Shield		
	Scutum		
	Dragon Shield		
	Pavise		
	Ancient Shield		
	Grim Shield		
	Barbed Shield		
	Heater		
	Luna		
	Hyperion		
	Monarch		
	Aegis		
	Ward		
	Troll Nest		
	Blade Barrier		
	Targe		
	Rondache		
	Heraldic Shield		
	Aerin Shield		
	Crown Shield		
	Akaran Targe		
	Akaran Rondache		
	Protector Shield		
	Gilded Shield		
	Royal Shield		
	Sacred Targe		
	Sacred Rondache		
	Kurast Shield		
	Zakarum Shield		
	Vortex Shield		
	Preserved Head		
	Zombie Head		
	Unraveller Head		
	Gargoyle Head		
	Demon Head		
	Mummified Trophy		
	Fetish Trophy		
	Sexton Trophy		
	Cantor Trophy		
	Hierophant Trophy		
	Minion Skull		
	Hellpawn Skull		
	Overseer Skull		
	Succubus Skull		
	Bloodlord Skull		
	Hand Axe		
	Axe		
	Double Axe		
	Military Pick		
	War Axe		
	Large Axe		
	Broad Axe		
	Battle Axe		
	Great Axe		
	Gaint Axe		
	Hatchet		
	Cleaver		
	Twin Axe		
	Crowbill		
	Naga		
	Military Axe		
	Bearded Axe		
	Tabar		
	Gothic Axe		
	Ancient Axe		
	Tomahawk		
	Small Crescent		
	Ettin Axe		
	War Spike		
	Berserker Axe		
	Feral Axe		
	Silver-Edged Axe		
	Decapitator		
	Champion Axe		
	Glorious Axe		
	Wand		
	Yew Wand		
	Bone Wand		
	Grim Wand		
	Burnt Wand		
	Petrified Wand		
	Tomb Wand		
	Grave Wand		
	Polished Wand		
	Ghost Wand		
	Lich Wand		
	Unearthed Wand		
	Club		
	Spiked Club		
	Mace		
	Morning Star		
	Flail		
	War Hammer		
	Maul		
	Great Maul		
	Cudgel		
	Barbed Club		
	Flanged Mace		
	Jagged Star		
	Knout		
	Battle Hammer		
	War Club		
	Martel De Fer		
	Truncheon		
	Tyrant Club		
	Reinforced Mace		
	Devil Star		
	Scourge		
	Legendary Mallet		
	Ogre Maul		
	Thunder Maul		
	Scepter		
	Grand Scepter		
	War Scepter		
	Rune Scepter		
	Holy Water Sprinkler		
	Divine Scepter		
	Mighty Scepter		
	Seraph Rod		
	Caduceus		
	Short Sword		
	Scimitar		
	Sabre		
	Falchion		
	Crystal Sword		
	Broad Sword		
	Long Sword		
	War Sword		
	Tow Handed Sword		
	Claymore		
	Giant Sword		
	Bastard Sword		
	Flamberge		
	Great Sword		
	Dagger		
	Dirk		
	Kris		
	Blade		
	Gladius		
	Cutlass		
	Shamshir		
	Tulwar		
	Dimensional Blade		
	Battle Sword		
	Rune Sword		
	Ancient Sword		
	Espandon		
	Dacian Falx		
	Tusk Sword		
	Gothic Sword		
	Zweihander		
	Executioner Sword		
	Poignard		
	Rondel		
	Cinquedeas		
	Stiletto		
	Falcata		
	Ataghan		
	Elegant Blade		
	Hydra Edge		
	Phase Blade		
	Conquest Sword		
	Cryptic Sword		
	Mythical Sword		
	Legend Sword		
	Highland Blade		
	Balrog Blade		
	Champion Sword		
	Colossus Sword		
	Colossus Blade		
	Bone Knife		
	Mithril Point		
	Fanged Knife		
	Legend Spike		
	Throwing Knife		
	Throwing Axe		
	Balanced Knife		
	Balanced Axe		
	Battle Dart		
	Francisca		
	War Dart		
	Hurlbat		
	Flying Knife		
	Flying Axe		
	Winged Knife		
	Winged Axe		
	Javelin		
	Pilum		
	Short Spear		
	Glaive		
	Throwing Spear		
	War Javelin		
	Great Pilum		
	Simbilan		
	Spiculum		
	Harpoon		
	Hyperion Javelin		
	Stygian Pilum		
	Balrog Spear		
	Ghost Glaive		
	Winged Harpoon		
	Spear		
	Trident		
	Brandistock		
	Spetum		
	Pike		
	Bardiche		
	Voulge		
	Scythe		
	Poleaxe		
	Halberd		
	War Scythe		
	War Spear		
	Fuscina		
	War Fork		
	Yari		
	Lance		
	Lochaber Axe		
	Bill		
	Battle Scythe		
	Partizan		
	Bec-de-Corbin		
	Grim Scythe		
	Hyperion Spear		
	Stygain Pike		
	Mancatcher		
	Ghost Spear		
	War Pike		
	Ogre Axe		
	Colossus Voulge		
	Thresher		
	Cryptic Axe		
	Great Poleaxe		
	Giant Thresher		
	Short Staff		
	Long Staff		
	Ganrled Staff		
	Battle Staff		
	War Staff		
	Jo Staff		
	Quarter Staff		
	Cedar Staff		
	Gothic Staff		
	Rune Staff		
	Walking Stick		
	Stalagmite		
	Elder Staff		
	Shillelagh		
	Archon Staff		
	Short Bow		
	Hunter's Bow		
	Long Bow		
	Composite Bow		
	Short Battle Bow		
	Long Battle Bow		
	Short War Bow		
	Long War Bow		
	Light Crossbow		
	Crossbow		
	Heavy Crossbow		
	Repeating Crossbow		
	Edge Bow		
	Razor Bow		
	Cedar Bow		
	Double Bow		
	Short Siege Bow		
	Large Siege Bow		
	Rune Bow		
	Gothic Bow		
	Arbalest		
	Siege Crossbow		
	Ballista		
	Chu-ko-Nu		
	Spider Bow		
	Blade Bow		
	Shadow Bow		
	Great Bow		
	Diamond Bow		
	Crusader Bow		
	Ward Bow		
	Hydra Bow		
	Pellet Bow		
	Gorgon Crossbow		
	Colossus Crossbow		
	Demon Crossbow		
	Rancid Gas Potion		
	Oil Potion		
	Choking Gas Potion		
	Exploding Potion		
	Strangling Gas Potion		
	Fulminating Potion		
	Decoy Gidbinn		
	The Gidbinn		
	Wirt's Leg		
	Horadric Malus		
	Hell Forge Hammer		
	Horadric Staff		
	Staff Of Kings		
	Khalim's Flail		
	Khalim's Will		
	Katar		
	Wrist Blade		
	Hatchet Hands		
	Cestus		
	Claws		
	Blade Talons		
	Scissors Katar		
	Quhab		
	Wrist Spike		
	Fascia		
	Hand Scythe		
	Greater Claws		
	Greater Talons		
	Scissors Quhab		
	Suwayyah		
	Wrist Sword		
	War Fist		
	Battle Cestus		
	Feral Claws		
	Runic Talons		
	Scissors Suwayyah		
	Eagle Orb		
	Sacred Globe		
	Smoked Sphere		
	Clasped Orb		
	Jared's Stone		
	Glowing Orb		
	Crystalline Globe		
	Cloudy Sphere		
	Sparkling Ball		
	Swirling Crystal		
	Heavenly Stone		
	Eldritch Orb		
	Demon Heart		
	Vortex Orb		
	Dimensional Shard		
	Stag Bow		
	Reflex Bow		
	Maiden Spear		
	Maiden Pike		
	Maiden Javelin		
	Ashwood Bow		
	Ceremonial Bow		
	Ceremonial Spear		
	Ceremonial Pike		
	Ceremonial Javelin		
	Matriarchal Bow		
	Grand Matron Bow		
	Matriarchal Spear		
	Matriarchal Pike		
	Matriarchal Javelin		
*=======================以下是属性名称(Property Name)			
	%+d Strength	%+d 力量	%+d 力量
	%+d Energy	%+d 精力	%+d 精力
	%+d Dexterity	%+d 敏捷	%+d 敏捷
	%+d Vitality	%+d 体力	%+d 體力
	Stat Point	状态点数	狀態點數
	Skill Point	技能点数	技能點數
	Life	生命	生命
	%+d Max Life	%+d 最大生命	%+d 最大生命
	Mana	法力	法力
	%+d Max Mana	%+d 最大法力	%+d 最大法力
	Stamina	耐力	耐力
	%+d Max Stamina	%+d 最大耐力	%+d 最大耐力
	Level	等级	等級
	Experience	经验	經驗
	Gold	金币	金幣
	Goldbank	存储箱金币	存儲箱金幣
	%+d%% Enhanced Defense	%+d%%防御强化	%+d%%防禦强化
	%+d%% - %d%% Enhanced Damage	%+d%% - %d%%增强伤害	%+d%% - %d%%增强傷害
	%+d%% Enhanced Min Damage	%+d%%增加最小伤害	%+d%%增加最小傷害
	%+d Attack Rating	%+d命中率	%+d準確率
	%+d%% Chance of Blocking	%+d%% 格挡几率	%+d%% 格擋可能性
	%+d Min 1-Handed Damage	%+d 单手最小伤害	%+d 單手最小傷害
	%+d Max 1-Handed Damage	%+d 单手最大伤害	%+d 單手最大傷害
	%+d Min 2-Handed Damage	%+d 双手最小伤害	%+d 雙手最小傷害
	%+d Max 2-Handed Damage	%+d 双手最大伤害	%+d 雙手最大傷害
	Damage %+d%% NV	伤害增加 %+d%%	傷害增加 %+d%%
	Regenerate Mana %d%% NV	法力重生 %d%%	法力重生 %d%%
	Regenerate Mana Plus %+d%%	法力重生增强 %+d%%	法力重生增强 %+d%%
	Heal Stemina %+d%%	耐力恢复增强 %+d%%	耐力回復增强 %+d%%
	Lastexp	上一等級经验	上一等級經驗
	Nextxp	下一等级经验	下一等級經驗
	%+d Defense	%+d 防御	%+d防禦
	%+d Defense vs Missile	%+d 远程防御	%+d 遠程防禦
	%+d Defense vs Melee	%+d 近战防御	%+d 近戰防御
	Damage Reduced By %+d	伤害减少%+d	傷害減少%+d
	Magic Damage Reduced By %+d	法术伤害减少 %+d	法術傷害減少 %+d
	Damage Reduced By %+d%%	伤害减少 %+d%%	傷害減少 %+d%%
	%+d%% Magic Resist	%+d%% 魔法抵抗	%+d%% 魔法抵抗
	%+d%% Max Magic Resist	%+d%% 最大魔法抵抗	%+d%% 最大魔法抵抗
	%+d%% Fire Resist	%+d%% 火抗	%+d%% 火抗
	%+d%% Max Fire Resist	%+d%% 最大火抗	%+d%% 最大火抗
	%+d%% Lightning Resist	%+d%% 闪电抵抗	%+d%% 閃電抵抗
	%+d%% Max Lightning Resist	%+d%% 最大闪电抵抗	%+d%% 最大閃電抵抗
	%+d%% Cold Resist	%+d%% 寒抗	%+d%% 寒抗
	%+d%% Max Cold Resist	%+d%% 最大寒抗	%+d%% 最大寒抗
	%+d%% Poison Resist	%+d%% 毒抗	%+d%% 毒抗
	%+d%% Max Poison Resist	%+d%% 最大毒抗	%+d%% 最大毒抗
	Damageaure	伤害灵气	傷害靈氣
	%+d - %d Fire Damage	%+d - %d 火焰伤害	%+d - %d 火焰傷害
	%+d Max Fire Damage	%+d 最大火焰伤害	%+d 最大火焰伤害
	%+d - %d Lightning Damage	%+d - %d 闪电伤害	%+d - %d 閃電傷害
	%+d Max Lightning Damage	%+d 最大闪电伤害	%+d 最大閃電傷害
	%+d - %d Magic Damage	%+d - %d 魔法伤害	%+d - %d 魔法傷害
	%+d Max Magic Damage	%+d 最大魔法伤害	%+d 最大魔法伤害
	%+d - %d Cold Damage Freezing %d sec	%+d - %d 冰冷伤害 %d 每秒	%+d - %d 冰冷傷害 %d 每秒
	%+d Max Cold Damage	%+d 最大寒冷伤害	%+d 最大寒冷伤害
	%+d * Cold Length	%+d 冻结持续时间	%+d 冻结持續时间
	%+d - %d Poison Damage Over %d sec	%+d - %d 毒素伤害维持 %d 每秒	%+d - %d 毒素傷害維持 %d 每秒
	%+d Max Poison Damage	%+d 最大毒伤害	%+d 最大毒傷害
	%+d *Poison Length	%+d 中毒持续时间	%+d 中毒持續時間
	%+d%% Life Stolen per Hit Min	%+d%%击中时偷取生命	%+d%%擊中時偷取生命 
	%+d%% Life Stolen per Hit Max	%+d%% 偷取生命伤害最大值	%+d%% 偷取生命伤害最大值
	%+d%% Mana Stolen per Hit Min	%+d%%击中时偷取法力	%+d%%擊中時偷取法力
	%+d%% Mana Stolen per Hit Max	%+d%% 击中时偷取法力伤害最大值	%+d%% 击中时偷取法力伤害最大值
	Stamina Drain Min	%+d%% 偷取耐力伤害最小值	%+d%% 偷取耐力力伤害最小值
	Stamina Drain Max	%+d%% 偷取耐力伤害最大值	%+d%% 偷取耐力伤害最大值
	Stun Length	使目标昏迷时间	使目標昏迷時間
	Run/Walk Speed %+d%% NV	跑步/步行速度 %+d%%	跑步/步行速度 %+d%%
	Attack Speed %+d%% NV	攻击速度 %+d%%	攻擊速度 %+d%%
	Other Animrate	减慢敌人	減慢敵人
	Quantity	数量	數量
	Value %+d	数值 %+d	數值 %+d
	%+d Durability	%+d 装备耐久	%+d 裝備耐久
	%+d Max Durability	%+d 最大装备耐久	%+d 最大裝備耐久
	%+d Replenish Life	%+d 生命补满/吸取生命	%+d 生命補滿/吸取生命
	Increase Max Durability %+d%%	增加耐久性上限 %+d%%	增加耐久性上限 %+d%%
	Increase Max Life %+d%%	增加生命上限%+d%%	增加生命上限%+d%%
	Increase Max Mana %+d%%	增加法力上限%+d%%	增加法力上限%+d%%
	Attacker Takes Damage of %+d	攻击者受到伤害 %+d	攻擊者受到傷害 %+d
	%+d%% Extra Gold From Monsters	%+d%% 额外金币从怪物身上取得	%+d%% 額外金幣從怪物身上取得
	%+d%% Better Chance of Getting Magic Items	%+d%% 更佳的机会取得魔法装备	%+d%% 更加的機會取得魔法裝備
	Knock Back %+d	击退 %+d	擊退 %+d
	Time Duration %+d	持续时间 %+d	持續時間 %+d
	%+d %s Skill	%+d增加%s 技能	%+d增加%s 技能
	Unsentparaml		
	%+d%% Experience Gained	%+d%% 转为经验值获得	%+d%% 轉為經驗值獲得
	%+d Life After Each Kill	%+d 生命在杀死后获得	%+d 生命在殺死后獲得
	Reduced Prices %+d%%	降低价格 %+d%%	降低價格 %+d%%
	Double Herb Duration	加倍草药持续时间	加倍草藥持續時間
	%+d Light Radius	%+d 照亮范围	%+d 照亮范围
	Light Color NV %d	照亮颜色 %d	照亮顔色 %d
	Requirements %+d%%	需求 %+d%%	需求 %+d%%
	%+d Item Level Require	%+d 需要等级	%+d 需要等級
	%+d%% Increase Attack Speed	%+d%% 增加攻击速度	%+d%% 增加攻擊速度
	Item Level Require %+d%%	需要等级 %+d%%	需要等级 %+d%%
	Last Block Frame		
	%+d%% Faster Run/Walk	%+d%% 跑步/步行	%+d%% 跑動/行走
	%+d to %s	%+d 致 %s	%+d 致 %s
	Change Character State to %s	状态赋予 %s	狀態賦予 %s
	%+d%% Faster Hit Recovery Rate	%+d%% 快速再度攻击	%+d%% 快速再度攻擊
	Monster Player Count		
	Poison Override	毒牙	毒牙
	%+d%% Faster Block Rate	%+d%% 快速格挡	%+d%% 快速格擋
	Bypass Undead	击退不死生物	擊退不死生物
	Bypass Demons	击退恶魔	擊退惡魔
	%+d%% Faster Cast Rate	%+d%% 高速施法速度	%+d%% 高速施法速度
	Bypass Beast	击退野兽	擊退野獸
	%+d to %s (%s only)	%+d 致 %s (限%s 使用)	%+d 致 %s (限%s 使用)
	Slain Monsters Rest In Peace %+d	杀死怪物回复平静 %+d	殺死怪物回復平靜 %+d
	Curse Resist %+d	抵抗诅咒的几率%+d	抵抗詛咒的幾率%+d
	Poison Length Reduced by %+d%%	毒素的持续效果降低 %+d%%	毒素的持續效果降低 %+d%%
	Damage %+d	伤害增加%+d	傷害增加%+d
	Hit Causes Monster Flee %+d%%	击中时使怪物逃跑 %+d%%	擊中時使怪物逃跑 %+d%%
	Hit Blinds Target %+d	击中时使目标致盲 %+d	擊中時使目標致盲 %+d
	-%d%% Damage Mana	-%d%% 受损的生命转移至法力	-%d%% 受損的生命轉移至法力
	Ignore Target Defense	无视目标防御	無視目標防禦
	-%d%% Target Defense	减少目标防御 -%d%%	減少目標防禦 -%d%% 
	Prevent Monster Heal %+d	防止怪物治疗	防止怪物治療
	Half Freeze Duration	冰冻时间减半	冰凍時間減半
	%+d%% Bonus Attack Rating	%+d%% 额外的攻击命中率加成	%+d%% 額外的攻擊命中率加成
	%+d Monster Defense Per Hit	%+d 每次击中降低怪物防御	%+d 每次擊中后降低怪物防禦
	%+d%% Damage to Demons	对恶魔系怪物的伤害增加 %+d%%	對惡魔系怪物的傷害增加 %+d%%
	%+d%% Damage to Undead	对不死系怪物的伤害增加 %+d%%	對不死系怪物的傷害增加 %+d%%
	%+d Attack Rating vs Demons	%+d 对恶魔的命中率	%+d 對惡魔的命中率
	%+d Attack Rating vs Undead	%+d 对不死生物命中率	%+d 對不死生物命中率
	Throwable	可投掷	可投擲
	%+d Fire Skills	%+d 火焰技能	%+d 火焰技能
	%+d All Skills	全部技能 %+d	全部技能 %+d 
	Attacker Takes Lightning Damage of %+d	攻击者受到 %+d 电击伤害	攻擊者受到 %+d 電擊傷害
	Iron Maiden Level	攻击反噬	攻擊反噬
	Life Tap Level	偷取生命	偷取生命
	Thorns Percent	刺针	刺針
	Bone Armor	白骨装甲	白骨裝甲
	Bone Armor Max	最大白骨装甲	最大白骨裝甲
	Freezes Target %+d	冻结目标 %+d	凍結目標 %+d
